SA2_CODE_2021,ave_household_size,med_age,med_hhd_inc_weekly,med_mortgage_monthly,med_prsn_inc_weekly,med_rent_weekly,total_persons
101021007,2.2,51,1429,1732,760,330,4343
101021008,2.6,38,1989,1950,975,350,8517
101021009,2.1,37,1703,1700,996,330,11342
101021010,2.1,36,1796,1700,1104,310,5085
101021012,2.9,37,3014,2300,1357,430,12744
101021611,2.9,42,2926,2417,1243,465,16539
101031013,2.2,49,1253,1083,704,200,2454
101031014,2.2,44,1377,1300,771,290,6761
101031015,2.4,50,1596,1627,794,290,3472
101031016,2.5,38,1911,1729,912,380,8035
101041017,2.2,51,1120,1519,596,330,8581
101041018,2.2,54,1215,1600,638,350,8938
101041019,2.3,46,1276,1517,704,320,8872
101041020,2.4,51,1220,1300,603,265,9557
101041021,2.3,52,1378,1733,738,360,3792
101041023,2.2,53,1013,1517,573,270,3425
101041024,2.3,53,1290,1387,639,300,3525
101041025,2.1,54,1235,1600,679,340,11513
101041026,2.2,56,1150,1517,612,310,8600
101051539,2.3,40,1418,1636,749,320,24565
101051540,2.5,48,1516,1733,735,300,13839
101061541,2.5,42,1739,1773,867,340,6763
101061542,2.8,43,2575,2275,1129,400,12713
101061543,2.4,42,1170,1300,661,250,11004
101061544,2.3,49,1169,1083,646,220,7677
102011028,2.8,43,2276,2438,915,520,7513
102011029,2.5,49,1775,2167,780,450,11042
102011030,2.6,48,1777,2167,780,350,4716
102011031,2.4,50,1434,2167,692,410,14758
102011032,2.2,39,1460,1885,796,390,21204
102011033,3,36,2200,2080,850,450,6485
102011034,2.4,47,1343,2100,691,400,7615
102011035,2.8,39,1950,1993,814,420,7157
102011036,2.8,40,1987,2000,798,425,8205
102011037,2.5,46,1717,2000,765,400,6571
102011038,2.6,45,1760,2167,783,460,7160
102011039,2.6,43,2130,2500,933,520,14849
102011040,2.2,47,1329,2080,678,400,24697
102011041,2.8,42,2188,2434,897,500,10675
102011042,2.2,47,1261,2000,642,380,14346
102011043,2.5,41,1430,1950,697,400,11423
102021044,2.6,41,1515,2000,719,400,22825
102021045,2.8,34,1497,1733,691,400,11290
102021046,2.3,45,1232,1733,639,360,9728
102021047,2.7,40,1803,2000,787,425,16006
102021048,2.4,42,1239,1700,625,360,22362
102021049,3.1,44,2575,2600,861,440,3420
102021050,2.2,52,1079,1733,594,380,10960
102021051,2.8,40,2011,2000,835,400,4928
102021052,2.5,45,1413,1753,669,395,6492
102021053,2.1,48,1176,1950,662,365,15839
102021054,2.2,47,1157,1950,639,350,9909
102021055,2.7,38,1795,1866,784,425,5229
102021056,3,35,2022,2167,790,495,20051
102021057,2.4,40,1214,1690,624,360,9120
103011059,2.7,36,1788,1800,799,360,12330
103011060,2.6,47,1835,1863,824,273,6909
103011061,2.3,48,1381,1517,735,280,4834
103011612,2,39,1198,1430,704,295,10752
103011613,2.6,37,1788,1733,875,350,14313
103021062,2.4,41,1208,867,645,180,6372
103021063,2.3,45,1078,1213,607,230,9273
103021064,2.3,50,1157,1164,601,210,5716
103021065,2.3,43,1257,1257,714,230,10020
103021066,2.2,52,1043,953,575,198,3597
103021067,2.4,39,1389,1300,728,260,10919
103021068,2.4,45,1205,1083,623,180,3262
103021069,2.3,43,1324,1083,730,200,5525
103031070,2.2,46,1088,1462,610,270,12385
103031071,2.4,47,1393,1517,671,270,8448
103031072,2.5,37,1742,1733,786,363,12563
103031073,2.1,53,890,1083,494,230,3398
103031074,2.5,45,1414,1651,664,280,11072
103041076,2.5,43,1548,1517,765,270,7517
103041077,2.2,40,1342,1510,742,300,19023
103041078,2.7,34,2002,1777,930,375,22895
103041079,2.6,43,1799,1773,855,260,11830
104011080,2.3,43,1125,1300,607,300,19255
104011081,2.5,49,1193,1365,552,300,16875
104011082,2.2,55,1079,1517,571,360,17533
104021083,2.5,46,1317,1517,647,370,6168
104021084,2.3,42,1257,1733,655,355,18099
104021085,2.3,45,1219,1733,648,360,11305
104021086,2.7,44,1676,1733,723,365,3950
104021087,2.1,54,939,1200,532,280,3250
104021088,2.7,43,1883,2000,848,458,10262
104021089,2.4,45,1352,1700,683,370,20066
104021090,2.3,53,1178,1680,603,350,4907
104021091,2.5,43,1346,1733,674,380,14463
105011092,2.4,36,1358,867,770,160,3428
105011093,2.3,37,1702,1098,880,190,4129
105011094,2.4,38,1261,867,675,190,3926
105011095,2.4,44,1347,1083,750,200,4591
105011096,2.2,44,991,852,547,179,5534
105021097,2.2,44,1173,867,647,220,17588
105021098,2.4,43,1103,932,583,150,2288
105031099,2.3,50,1079,871,557,200,7921
105031100,2.6,35,1679,1517,850,295,10633
105031101,2.4,35,1662,1567,896,320,19628
105031102,2.6,34,1626,1517,850,320,10317
